a495068a-9d3c-402f-b901-285b30c00fcc;O exemplo
vem de cima para baixo na medida que a prepotência, a desfaçatez, a arrogância se
faz sentir como forma de poder e influencia social, contaminando todos os
setores, nem o púlpito das igrejas, onde se deveriam escutar palavras de sabedoria
ficou imune perante essa pandemia do mais grotesco que existe no ser humano que
busca sempre a forma de denegrir a seu semelhante.;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
cf17c26d-65fa-414f-972b-337398e13ade;Quem falou essa aberração foi apenas a imprensa. Informe-se melhor.;0;0;ESTRUPO CULPOSO ! Primeira vez que ouço uma aberração destas ! Quando não há intenção do acusado de cometer  estrupo. ESSE CASO DEVERIA SER TODO REVISTO, por outra BANCA, outro JUIZ inclusive.;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
bb39083b-99b6-4e28-a7bd-3a36d59b1a09;Sou pai , filho e esposo e espero q esse cidadão pague , aliaz ja esta pagando , tudo que aqui se faz aqui se paga pode ter pago  advogado, juiz , mais as consequencias estão ai , todos compartilhando o rostinho dele para as pessoas saberem quem é , passe o tempo que for sempre alguem vai lembrar desse estuprador . E que pague pelo que fez..;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
88055ec3-a11a-4f7d-a4d4-1878bfa17481;Ele foi julgado inocente? Alias o Mp pediu a sua inocência! Criminalizar a advocacia é igual a seguro. Quando precisa é bom ter...;0;0;Sou pai , filho e esposo e espero q esse cidadão pague , aliaz ja esta pagando , tudo que aqui se faz aqui se paga pode ter pago  advogado, juiz , mais as consequencias estão ai , todos compartilhando o rostinho dele para as pessoas saberem quem é , passe o tempo que for sempre alguem vai lembrar desse estuprador . E que pague pelo que fez..;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
b47cd0f6-9af4-49ae-91c6-0b26db59219a;Demorou pra isso acontecer, só foi uma mauricinha da elite brasileira reclamar que os defensores aproveitadores de ocasião aparecerem com medidas punitivas, quantos casos desses que acontece com as mulheres pobres e a ala politica nunca apresentaram o projeto pra tornar essa prática em crime de violência, vide o caso da menina de 10 anos dias atrás, é só no BR mesmo. ;0;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
b36ae5a3-b120-4566-b9f5-bbc4b5b96f67;Deveriam se preocupar com a chamada presunção de inocencia - pq a hora que for com algum conhecido é assim que o pano é sempre passado por esses ai que estao na lacracao. Ah, ela é vitima, chorou, foi acuada, queriam o advogado de defesa a santificasse tb, etc etc etc. Mas e as provas? Exames deram negativo contradizendo a versao dela. Testemunhas contrariam ela. Ah, mas basta ela dizer que nao queria. OK. Mas ela afirmou que nao se lembrava de nada, que foi dopada - agora lembrou q disse q nao queria? ai fica complicado, nao é o acusado q tem provar que é inocente.;1;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
ce24c38d-35d9-467e-838c-96ff714a8d6d;Tenho Mae, irmã,esposa e filha . Motivo suficiente para defender as mulheres, mas nesse caso e impossível, o bonitona ai foi por que quis, fez o que quiz, nao foi forçada a nada .A verdade e que no dia seguinte as coisas não aconteceram como ela esperava, se arrependeu do que fez. Que sirva de exemplo. A vida e feita de escolhar é consequência. ;1;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
763c97c8-fb05-4ce7-8c5f-4b1997ada42e;Valadares, Valadares eu vim de Governador Valadares.;0;0;Tenho Mae, irmã,esposa e filha . Motivo suficiente para defender as mulheres, mas nesse caso e impossível, o bonitona ai foi por que quis, fez o que quiz, nao foi forçada a nada .A verdade e que no dia seguinte as coisas não aconteceram como ela esperava, se arrependeu do que fez. Que sirva de exemplo. A vida e feita de escolhar é consequência. ;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
2f92a59c-80f6-432d-988f-765ab9348961;Bem, só sei que o “empresário” deve ter pago uma pequena fortuna para não pagar de mulherzinha na cadeia, simples assim. ;3;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
087586a6-a4bd-4ac8-a3a7-5cc6b3066ba1;Com que provas voce diz isso? O cara sofreu uma falsa acusacao de estupro e voce fica do lado da criminosa? Voce é louco. ;4;0;Bem, só sei que o “empresário” deve ter pago uma pequena fortuna para não pagar de mulherzinha na cadeia, simples assim. ;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
6f22e08c-8713-4632-8df2-9fdc3448f526;Nada de álcool e nada de toxicológico. Amigas contam que ela estava totalmente sóbria. Outro caso Neymar para ganhar repercussão e, é claro, seguidores no insta. Caso tão real quanto a tal sentença de estupro culposo que nunca existiu. Lacrosfera e perfil do insta agradecem.;5;0;;a1f4c69f-7d0f-427f-96d8-6ae04102450a;Caso mariana ferrer deputadas apresentam projeto para tornar crime a violencia instituciona;https://g1.globo.com/politica/noticia/2020/11/04/caso-mariana-ferrer-deputadas-apresentam-projeto-para-tornar-crime-a-violencia-institucional.ghtml
